UniprotID,TCDBID,Substrates,Column1,Column2,Column3
Q47377,2.A.7.22.1,"4-amino-4-deoxy-L-arabinosephosphoundecaprenol,Polymyxin,Cationicantimicrobialpeptides ",,,
P76474,2.A.7.22.1,"4-amino-4-deoxy-L-arabinosephosphoundecaprenol,Polymyxin,Cationicantimicrobialpeptides ",,,
Q9RBQ9,2.A.56.3.2,"4-chlorobenzoate,4-bromobenzoate,4-iodobenzoate,4-fluorobenzoate,3-chlorobenzoate,2-chlorobenzoate,4-hydroxybenzoate,3-hydroxybenzoate,Benzoate ",,,
Q9RBR0,2.A.56.3.2,"4-chlorobenzoate,4-bromobenzoate,4-iodobenzoate,4-fluorobenzoate,3-chlorobenzoate,2-chlorobenzoate,4-hydroxybenzoate,3-hydroxybenzoate,Benzoate ",,,
Q9RBR1,2.A.56.3.2,"4-chlorobenzoate,4-bromobenzoate,4-iodobenzoate,4-fluorobenzoate,3-chlorobenzoate,2-chlorobenzoate,4-hydroxybenzoate,3-hydroxybenzoate,Benzoate ",,,
Q51955,2.A.1.15.1,"4-hydroxybenzoate,Protocatechuate ",,,
Q8F7L4,2.A.1.66.2,"4-hydroxybenzoate,SAM ",,,
Q9XIE2,3.A.1.205.9,"4-methoxy-indol-3-ylmethylglucosinolate,Cd2+,Pb2+,Phytoalexins,Quercitin,Kaempeferol,Salicylate ",,,
O51798,2.A.1.15.9,4-methylmuconolactone ,,,
Q944G5,2.A.17.3.17,"4-methylthiobutylglucosinolate,jasmonoyl-L-isoleucine,gibberellicacid,Alkylglucosinolates ",,,
P02920,2.A.1.5.1,"4-nitrophenyl-beta-D-galactopyranoside,4-nitrophenyl-alpha-D-galactopyranoside,methyl-beta-thiogalactoside,beta-galactopyranosyl-1-glycerol,methyl-beta-D-galactoside,D-melibiose,isopropylbeta-thiogalactoside,beta-galactosides,Alpha-galactosides,D-sucrose,D-maltose,D-lactose ",,,
Q6A553,2.A.102.1.1,4-toluenesulfonate ,,,
Q70J75,3.A.1.105.3,4A-4E-O-dideacetyl-chromomycinA3 ,,,
Q70J76,3.A.1.105.3,4A-4E-O-dideacetyl-chromomycinA3 ,,,
Q54203,3.A.1.119.1,"5-Hydroxystreptomycin,Streptomycin-likeaminoglycosides ",,,
Q54204,3.A.1.119.1,"5-Hydroxystreptomycin,Streptomycin-likeaminoglycosides ",,,
P53047,9.A.26.1.1,7-aminocholesterol ,,,
P12866,3.A.1.206.1,a-factorsexhormone ,,,
Q9X4X4,2.A.1.30.1,Abietane ,,,
Q44575,2.A.66.2.4,Acetan ,,,
P0AAC4,1.A.14.2.2,Acetate,,,
P41943,2.A.96.1.2,Acetate,,,
O06933,2.A.7.3.1,Acetate ,,,
Q5B2K4,2.A.96.1.3,Acetate ,,,
P25613,2.A.96.1.4,Acetate ,,,
Q2PGB8,3.A.1.120.5,Acetate ,,,
D5AU53,2.A.21.7.4,"Acetate, Tellurite",,,
P32705,2.A.21.7.2,"Acetate,Glyoxylate ",,,
,2.A.1.6.11,"Acetate,Haloacid,Glycolate,Lactate,pyruvate ",,,
F8SVK1,2.A.1.6.11,"Acetate,Haloacid,Glycolate,Lactate,pyruvate ",,,
Q7X4L6,2.A.1.6.8,"Acetate,Monochloroacetate ",,,
P0AC98,2.A.96.1.1,"Acetate,Succinate ",,,
D5APM1,2.A.21.7.5,"Acetate,Tellurite ",,,
Q12117,3.E.1.4.6,Aceticacid ,,,
P38079,3.E.1.4.8,Aceticacid ,,,
O00400,2.A.1.25.1,"Acetyl-CoA,CoenzymeA ",,,
P34711,2.A.1.2.13,Acetylcholine ,,,
Q16572,2.A.1.2.28,Acetylcholine ,,,
O76689,2.A.22.2.7,"Acetylcholine,Choline,Na+ ",,,
Q03105,9.B.16.1.2,"Acetylcholine,dopamine,glutamate ",,,
F5X5Y2,2.A.10.1.5,Acetylresidues ,,,
Q93AT6,2.A.1.3.21,Achromobactin ,,,
A9XED4,1.B.12.11.1,"Acidphosphatase,MapA ",,,
B6Q577,2.A.1.3.68,"Acids,NONE ",,,
P43531,2.A.1.36.1,"acriflavin,Arabinose ",,,
P24181,2.A.6.2.1,"acriflavin,doxorubicin,ethidium,Rhodamine6G,Deoxycholate ",,,
Q50392,2.A.1.3.3,"acriflavin,ethidiumbromide,Fluoroquinolones ",,,
P46105,2.A.1.3.25,Actinorhodin ,,,
Q53902,2.A.6.5.1,Actinorhodin ,,,
Q9KZE5,3.A.1.106.9,Actinorhodin ,,,
Q53903,2.A.1.3.7,"Actinorhodin,H+ ",,,
Q9ZBX6,3.A.1.146.1,"Actinorhodin,Undecylprodigiosin ",,,
Q9ZBX5,3.A.1.146.1,"Actinorhodin,Undecylprodigiosin ",,,
Q9ZBX4,3.A.1.146.1,"Actinorhodin,Undecylprodigiosin ",,,
Q9ZBX3,3.A.1.146.1,"Actinorhodin,Undecylprodigiosin ",,,
Q6Q2Z6,4.C.3.1.1,Acyl-CoA ,,,
Q8WYK0,4.C.3.1.2,Acyl-CoA ,,,
P50416,4.C.2.1.3,"acyl-coenzmeA,L-carnitine,acyl-carnitine ",,,
Q8BL03,2.A.29.8.5,"Acylcarnitine,Carnitine ",,,
A4LTL1,1.B.19.1.2,Acylhomoserinelactone ,,,
G8WDN2,2.A.7.21.5,Acylhomoserinelactone ,,,
G8WDN3,2.A.7.21.5,Acylhomoserinelactone ,,,
P9WJU1,2.A.6.5.13,"acyltrehalose,diacyltrehalose ",,,
P12236,2.A.29.1.10,Adenine ,,,
Q9ZNY4,2.A.29.11.2,Adenine ,,,
P31466,2.A.40.7.6,Adenine ,,,
Q4QH25,2.A.57.2.7,Adenine ,,,
Q8LB08,2.A.29.1.6,"Adenine,ATP,ADP ",,,
P04710,2.A.29.1.3,"Adenine,ATP,ADP,Heme,Hemeprecursor ",,,
V9SBV7,2.A.39.3.12,"Adenine,guanine,Hypoxanthine,Cytosine,Allantoin,Xanthine,Uricacid,5-fluorocytosine ",,,
A8J166,2.A.39.3.14,"Adenine,guanine,Uracil,Allantoin ",,,
Q86MB6,2.A.57.2.5,"Adenine,Hypoxanthine,Xanthine,guanine,Allopurinol,Inosine,Guanosine ",,,
J9UD11,2.A.57.2.9,Adenosine ,,,
Q9U763,2.A.57.2.4,"Adenosine,Inosine ",,,
O54699,2.A.57.1.4,"Adenosine,Inosine,Hypoxanthine,Nucleosides ",,,
O76343,2.A.57.2.1,"Adenosine,Uridine,Cytosine,Tubercidin,H+ ",,,
Q9VEI3,2.A.7.11.2,Adenosine3'-phosphate5'-phosphosulfate ,,,
Q9H1N7,2.A.7.11.5,Adenosine3'-phosphate5'-phosphosulfate ,,,
Q8TB61,2.A.7.11.3,"Adenosine3'-phosphate5'-phosphosulfate,Adenosine3'-phosphate5'-phosphate ",,,
Q9XD84,1.B.12.8.3,"Adhesin, TibA",,,
Q0PAN9,1.B.12.10.1,"Adhesin,CapA ",,,
Q8X6C1,1.B.12.1.6,"Adhesin,EhaA ",,,
Q8X5H7,1.B.12.2.7,"Adhesin,EhaB ",,,
Q9AET6,3.A.5.10.1,"Adhesin,GspB ",,,
Q9AET7,3.A.5.10.1,"Adhesin,GspB ",,,
Q9AET8,3.A.5.10.1,"Adhesin,GspB ",,,
Q9AET9,3.A.5.10.1,"Adhesin,GspB ",,,
Q9AEU0,3.A.5.10.1,"Adhesin,GspB ",,,
Q03155,1.B.12.1.1,Adhesins ,,,
P45508,1.B.12.1.5,Adhesins ,,,
P45387,1.B.12.3.2,Adhesins ,,,
P92935,2.A.12.1.19,"ADP,ATP ",,,
P31167,2.A.29.1.5,"ADP,ATP ",,,
Q9H0C2,2.A.29.1.8,"ADP,ATP ",,,
Q9BYT1,2.A.1.14.21,"ADP,ATP,GTP ",,,
P29518,2.A.29.11.1,"ADP,glucose ",,,
Q6E5A5,2.A.29.11.3,"ADP,glucose ",,,
Q9ZHD2,1.B.17.3.4,Ag+ ,,,
Q9ZHC9,2.A.6.1.3,Ag+ ,,,
Q9ZHC7,3.A.3.5.4,Ag+ ,,,
P77211,1.B.17.3.5,"Ag+,Cu+ ",,,
Q59385,3.A.3.5.5,"Ag+,Cu+ ",,,
Q676G9,2.A.66.5.1,Agrocin84 ,,,
A4BUA1,2.A.66.5.2,Agrocin84 ,,,
O30541,3.A.1.5.4,Agrocinopine ,,,
O30542,3.A.1.5.4,Agrocinopine ,,,
O30543,3.A.1.5.4,Agrocinopine ,,,
O30544,3.A.1.5.4,Agrocinopine ,,,
Q52012,3.A.1.5.4,Agrocinopine ,,,
Q6ZG85,2.A.55.2.5,Al3+ ,,,
D2CYA4,2.A.66.1.43,Al3+ ,,,
Q9C9W0,3.A.1.139.4,Al3+ ,,,
Q9ZUT3,3.A.1.139.4,Al3+ ,,,
Q0WML0,3.A.1.201.8,Al3+ ,,,
P35755,3.A.1.10.3,"Al3+,Ga3+,Fe3+ ",,,
P44513,3.A.1.10.3,"Al3+,Ga3+,Fe3+ ",,,
P71338,3.A.1.10.3,"Al3+,Ga3+,Fe3+ ",,,
Q15EV0,2.A.85.2.3,"Al3+,malate ",,,
Q08269,1.A.35.2.1,"Al3+,Mg2+ ",,,
A8ANM6,2.A.104.1.1,Alanine ,,,
Q45068,2.A.25.1.5,Alanine ,,,
P39580,2.A.50.2.1,Alanine ,,,
P31126,2.A.1.2.55,"Alanine-glutamine,dipeptides,Arabinose,drugs ",,,
Q9EQ25,2.A.18.6.7,"Alanine,Alpha-methylaminoisobutyricacid,Na+ ",,,
P30143,2.A.25.1.10,"Alanine,Glycine ",,,
S5PD21,2.A.25.1.7,"Alanine,Glycine ",,,
A0Q2F5,2.A.25.1.8,"Alanine,Glycine ",,,
W0WFC6,2.A.25.1.9,"Alanine,Glycine,Asparagine,Glutamine ",,,
P30144,2.A.25.1.1,"Alanine,Glycine,Na+ ",,,
J6H8T7,2.A.120.1.12,"Alanine,Na+ ",,,
Q6LX42,2.A.25.1.3,"Alanine,Na+ ",,,
B0SM05,2.A.25.1.6,"Alanine,Na+ ",,,
P30145,2.A.25.1.2,"Alanine,Na+,H+ ",,,
P43007,2.A.23.3.1,"Alanine,Serine,Cysteine,Threonine,Na+ ",,,
Q8DQI1,3.A.1.4.10,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
Q8DQH7,3.A.1.4.10,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
Q8DQH8,3.A.1.4.10,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
Q8DQI0,3.A.1.4.10,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
Q8DQH9,3.A.1.4.10,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
P21630,3.A.1.4.8,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
P21629,3.A.1.4.8,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
P21628,3.A.1.4.8,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
P21627,3.A.1.4.8,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
P21175,3.A.1.4.8,"Alanine,Serine,Threonine,Valine,Isoleucine,Leucine ",,,
Q7VW14,2.A.1.2.27,Alcaligin ,,,
Q460G9,2.A.96.2.1,Alcaligin ,,,
H9BZ66,3.A.1.204.23,"alcoholglycosides,benzylalcohol,methylbenzoate,phenylpropanoids,benzenoids,volatileorganiccompounds ",,,
D3LPG3,2.A.86.1.6,Aldoses ,,,
A9QDR6,3.A.1.1.29,Aldouronate ,,,
A9QDR7,3.A.1.1.29,Aldouronate ,,,
A9QDR8,3.A.1.1.29,Aldouronate ,,,
P18895,1.B.13.1.1,Alginate ,,,
Q44497,1.B.13.1.2,Alginate ,,,
Q9KWT5,3.A.1.1.10,Alginate ,,,
Q9KWT6,3.A.1.1.10,Alginate ,,,
Q9KWT7,3.A.1.1.10,Alginate ,,,
Q9KWT8,3.A.1.1.10,Alginate ,,,
Q9KWT9,3.A.1.1.10,Alginate ,,,
O67594,4.D.1.1.7,Alginate ,,,
Q52463,4.D.1.1.9,Alginate ,,,
A3UR43,1.B.35.1.3,Alginate-oligosaccharides ,,,
A3UR51,1.B.35.1.4,Alginate-oligosaccharides ,,,
Q0VSL2,1.B.13.1.7,"Alginate,Triacylglycerol,Waxesters,Polyhydroxyalkanoates ",,,
A3UWQ1,2.A.21.3.11,Alginateoligosaccharides ,,,
A3UWQ9,2.A.21.3.12,Alginateoligosaccharides ,,,
A3UR54,2.A.21.3.13,Alginateoligosaccharides ,,,
P75853,3.A.1.17.10,Aliphaticsulfonate ,,,
B1X8N7,3.A.1.17.10,Aliphaticsulfonate ,,,
P75851,3.A.1.17.10,Aliphaticsulfonate ,,,
Q03024,3.A.1.110.4,AlkalineProteases ,,,
Q9FZ96,2.A.7.14.1,"Alkaloids,Caffeine,Cytosine,Adenine,Phytohormones,kinetin,zeatin,Hypoxanthine,Purines,Pyrimidines ",,,
Q04895,2.A.39.3.1,Allantoin ,,,
P94575,2.A.39.3.4,Allantoin ,,,
P75712,2.A.39.3.8,Allantoin ,,,
Q6S9Z3,2.A.7.19.1,"Allantoin,Uracil,5-fluorouracil ",,,
Q9ZPR7,2.A.7.19.2,"Allantoin,Uricacid,Xanthine ",,,
P19145,2.A.3.10.2,"allL-Amino acids,someD-Amino acids,beta-alanine,Polyamines,gamma-aminobutyricacid ",,,
P32720,3.A.1.2.6,Allose ,,,
P32721,3.A.1.2.6,Allose ,,,
P39265,3.A.1.2.6,Allose ,,,
Q9WYR1,3.A.1.1.39,"Alpha-1,4-digalacturonate ",,,
P96710,2.A.1.1.55,"Alpha-1,5Arabinobiose,L-arabinose,Xylose,Galactose,H+ ",,,
F0TFS5,3.A.1.5.32,Alpha-galactosides ,,,
F0TFS6,3.A.1.5.32,Alpha-galactosides ,,,
F0TFS7,3.A.1.5.32,Alpha-galactosides ,,,
F0TFS8,3.A.1.5.32,Alpha-galactosides ,,,
F0TFS9,3.A.1.5.32,Alpha-galactosides ,,,
F0TFT0,3.A.1.5.32,Alpha-galactosides ,,,
Q9FBS5,3.A.1.1.42,alpha-glucosides ,,,
Q9FBS6,3.A.1.1.42,alpha-glucosides ,,,
Q9FBS7,3.A.1.1.42,alpha-glucosides ,,,
ART98514,4.A.1.1.19,alpha-glucosides ,,,
P08716,3.A.1.109.1,Alpha-hemoylsin ,,,
O05390,2.A.1.18.3,Alpha-ketoglutarate ,,,
P69783,4.A.1.1.1,"Alpha-methyl-D-glucopyranoside,D-glucose ",,,
P69786,4.A.1.1.1,"Alpha-methyl-D-glucopyranoside,D-glucose ",,,
C1P5Z7,4.A.1.1.1,"Alpha-methyl-D-glucopyranoside,D-glucose ",,,
P31435,2.A.2.3.4,Alpha-xylosides ,,,
Q51417,1.A.29.1.1,Amides ,,,
Q53185,1.A.29.1.2,Amides ,,,
Q67GM1,2.A.6.2.4,"Amikacin,Ceftazidime,Chloramphenicol,Ciprofloxacin,erythromycin,ethidiumbromide,Meropenem,Rifampin,tetracycline ",,,
Q8GKU1,2.A.6.2.4,"Amikacin,Ceftazidime,Chloramphenicol,Ciprofloxacin,erythromycin,ethidiumbromide,Meropenem,Rifampin,tetracycline ",,,
P24177,2.A.6.2.7,"Amikacin,Gentamycin,Neomycin,Kanamycin,Tobramycin,SDS,Deoxycholate,estradiol,progesterone,Aminoglycosides,Cu2+,Zn2+,L-cysteine ",,,
D3DMK0,2.A.3.8.32,Amino acids,,,
Q52812,3.A.1.3.8,Amino acids,,,
Q52813,3.A.1.3.8,Amino acids,,,
Q52814,3.A.1.3.8,Amino acids,,,
Q52815,3.A.1.3.8,Amino acids,,,
Q9HWW1,1.B.39.1.3,Amino acids ,,,
Q09752,2.A.1.48.3,Amino acids ,,,
O59726,2.A.1.48.4,Amino acids ,,,
I7I0I4,2.A.1.53.10,Amino acids ,,,
I7HKT5,2.A.1.53.11,Amino acids ,,,
I7I571,2.A.1.53.12,Amino acids ,,,
I7I5G1,2.A.1.53.13,Amino acids ,,,
I7I1R6,2.A.1.53.14,Amino acids ,,,
Q9VS47,2.A.1.53.5,Amino acids ,,,
I7I0H5,2.A.1.53.8,Amino acids ,,,
I7HQW2,2.A.1.53.9,Amino acids ,,,
P51811,2.A.112.1.1,Amino acids ,,,
V1CIA4,2.A.120.1.11,Amino acids ,,,
P37520,2.A.120.1.9,Amino acids ,,,
Q8NE00,2.A.18.10.1,Amino acids ,,,
C4LSN3,2.A.18.10.2,Amino acids ,,,
C6LXJ3,2.A.18.10.3,Amino acids ,,,
Q42400,2.A.18.2.1,Amino acids ,,,
Q9FF99,2.A.18.2.10,Amino acids ,,,
Q39134,2.A.18.2.3,Amino acids ,,,
P92934,2.A.18.2.4,Amino acids ,,,
O80592,2.A.18.2.5,Amino acids ,,,
Q38967,2.A.18.2.7,Amino acids ,,,
P47082,2.A.18.5.2,Amino acids ,,,
P38176,2.A.18.6.10,Amino acids ,,,
Q8IZM9,2.A.18.6.11,Amino acids ,,,
A6NNN8,2.A.18.6.12,Amino acids ,,,
Q9NVC3,2.A.18.6.13,Amino acids ,,,
Q9H2H9,2.A.18.6.14,Amino acids ,,,
Q8WUX1,2.A.18.6.15,Amino acids ,,,
Q9HBR0,2.A.18.6.16,Amino acids ,,,
Q969I6,2.A.18.6.17,Amino acids ,,,
Q08AI6,2.A.18.6.18,Amino acids ,,,
P40501,2.A.18.6.19,Amino acids ,,,
P39981,2.A.18.6.20,Amino acids ,,,
Q96QD8,2.A.18.6.5,Amino acids ,,,
P40074,2.A.18.6.6,Amino acids ,,,
P36062,2.A.18.7.1,Amino acids ,,,
P50944,2.A.18.7.2,Amino acids ,,,
Q10074,2.A.18.7.3,Amino acids ,,,
Q9VT04,2.A.18.8.3,Amino acids ,,,
P34479,2.A.18.8.8,Amino acids ,,,
Q6VS78,2.A.22.2.8,Amino acids ,,,
B2ZXL8,2.A.22.2.9,Amino acids ,,,
R4N225,2.A.22.6.9,Amino acids ,,,
P43548,2.A.3.10.14,Amino acids ,,,
Q8J266,2.A.3.10.17,Amino acids ,,,
Q59NZ6,2.A.3.10.26,Amino acids ,,,
O60170,2.A.3.10.28,Amino acids ,,,
Q97YX9,2.A.3.15.3,Amino acids ,,,
Q8WY07,2.A.3.3.10,Amino acids ,,,
Q9SHH0,2.A.3.3.11,Amino acids ,,,
O64759,2.A.3.3.12,Amino acids ,,,
Q9ASS7,2.A.3.3.13,Amino acids ,,,
Q8W4K3,2.A.3.3.14,Amino acids ,,,
Q9L100,2.A.3.3.16,Amino acids ,,,
Q8R706,2.A.3.3.22,Amino acids ,,,
Q84MA5,2.A.3.3.3,Amino acids ,,,
Q9LZ20,2.A.3.3.4,Amino acids ,,,
P52569,2.A.3.3.8,Amino acids ,,,
P30825,2.A.3.3.9,Amino acids ,,,
Q9KZF1,2.A.3.4.7,Amino acids ,,,
O28661,2.A.3.6.1,Amino acids ,,,
Q58026,2.A.3.6.3,Amino acids ,,,
P82251,2.A.3.8.19,Amino acids ,,,
O13020,2.A.3.8.2,Amino acids ,,,
Q9NS82,2.A.3.8.21,Amino acids ,,,
Q9UM01,2.A.3.8.22,Amino acids ,,,
Q22397,2.A.3.8.27,Amino acids ,,,
F1R8V8,2.A.3.8.29,Amino acids ,,,
C3N8F9,2.A.3.8.30,Amino acids ,,,
Q19834,2.A.3.8.9,Amino acids ,,,
P49940,2.A.3.9.3,Amino acids ,,,
Q5NFU3,2.A.42.1.5,Amino acids ,,,
F0LJG4,2.A.42.1.7,Amino acids ,,,
747073561,2.A.43.2.10,Amino acids ,,,
823139245,2.A.43.2.11,Amino acids ,,,
p0aa70,2.A.7.3.22,Amino acids ,,,
D7A5Q8,2.A.7.3.66,Amino acids ,,,
Q6SJ76,2.A.7.3.67,Amino acids ,,,
P64711,2.A.75.1.3,Amino acids ,,,
P75693,2.A.76.1.3,Amino acids ,,,
Q3J2V9,2.A.76.1.6,Amino acids ,,,
G4NW86,2.A.76.1.7,Amino acids ,,,
G4NXW2,2.A.76.1.8,Amino acids ,,,
P25743,2.A.95.1.7,Amino acids ,,,
Q8YPM7,3.A.1.3.18,Amino acids ,,,
Q8YPM8,3.A.1.3.18,Amino acids ,,,
Q8YPM9,3.A.1.3.18,Amino acids ,,,
Q9F3K5,3.A.1.3.24,Amino acids ,,,
Q9F3K6,3.A.1.3.24,Amino acids ,,,
Q9F3K7,3.A.1.3.24,Amino acids ,,,
B8F896,3.A.1.3.28,Amino acids ,,,
B8F897,3.A.1.3.28,Amino acids ,,,
B8F898,3.A.1.3.28,Amino acids ,,,
Q15758,2.A.23.3.3,"Amino acids, Thyroid hormones, thyroid hormone derivatives",,,
D5FKJ1,2.A.76.1.11,"Amino acids,3-methylarginine ",,,
Q59YT0,2.A.3.10.24,"Amino acids,Citruline,AminoAcidderivatives ",,,
Q8BHK3,2.A.18.8.2,"Amino acids,H+ ",,,
Q495N2,2.A.18.8.4,"Amino acids,H+ ",,,
Q6YBV0,2.A.18.8.5,"Amino acids,H+ ",,,
Q495M3,2.A.18.8.6,"Amino acids,H+ ",,,
Q7Z2H8,2.A.18.8.7,"Amino acids,H+ ",,,
Q8K4D3,2.A.18.8.1,"Amino acids,H+,Gamma-aminobutyricacid ",,,
Q9W4C5,2.A.22.2.13,"Amino acids,Na+ ",,,
Q21353,2.A.23.2.9,"Amino acids,Na+ ",,,
Q64093,2.A.22.6.1,"Amino acids,Na+,Cl-,Li+,Pipecolate,MeAIB,Sarcosine,Proline ",,,
Q9R0S5,2.A.3.8.7,"Amino acids,Na+,Li+,H+,methylmercury-L-cysteine ",,,
Q01650,2.A.3.8.25,"Amino acids,S-nitroso-L-cysteine ",,,
Q1CZY0,2.A.1.2.83,"Amino acids,Streptomycin,ethidiumbromide,norfloxacin ",,,
Q63016,2.A.3.8.1,"Amino acids,Thyroidhormones,thyroidhormonederivatives ",,,
Q92536,2.A.3.8.23,"Amino acids,Thyroidhormones,thyroidhormonederivatives ",,,
Q51487,2.A.6.2.21,"Aminoglycosides,Beta-lactams,Fluoroquinolones,Macrolides,Chloramphenicol,tetracycline,erythromycin,Ofloxacin ",,,
Q9ZNG8,2.A.6.2.21,"Aminoglycosides,Beta-lactams,Fluoroquinolones,Macrolides,Chloramphenicol,tetracycline,erythromycin,Ofloxacin ",,,
Q9ZNG9,2.A.6.2.21,"Aminoglycosides,Beta-lactams,Fluoroquinolones,Macrolides,Chloramphenicol,tetracycline,erythromycin,Ofloxacin ",,,
Q29449,3.A.3.8.1,Aminophospholipids ,,,
Q8NB49,3.A.3.8.14,Aminophospholipids ,,,
P39524,3.A.3.8.2,Aminophospholipids ,,,
P98204,3.A.3.8.7,Aminophospholipids ,,,
P13090,2.A.1.3.1,"Aminotriazole,H+,L-cysteine,4-nitroquinoline-N-oxide ",,,
Q79VF1,1.A.11.1.3,ammonia,,,
O67997,1.A.11.1.4,ammonia,,,
O66515,1.A.11.1.5,ammonia,,,
Q9M6N7,1.A.11.2.2,ammonia,,,
P40260,1.A.11.3.1,ammonia,,,
P41948,1.A.11.3.2,ammonia,,,
Q96UY0,1.A.11.3.4,ammonia,,,
P32907,2.A.96.1.7,ammonia ,,,
Q8NKD5,1.A.11.3.3,"ammonia,Methylamine",,,
P54146,1.A.11.1.2,"ammonia,Methylammonia",,,
P54144,1.A.11.2.1,"ammonia,Methylammonia",,,
Q93IP6,1.A.11.2.3,"ammonia,Methylammonia",,,
P58905,1.A.11.2.4,"ammonia,Methylammonia",,,
Q82X47,1.A.11.4.4,"ammonia,Methylammonia",,,
D0VX38,1.A.11.4.5,"ammonia,Methylammonium",,,
Q9UBD6,1.A.11.4.1,"ammonia,NH4+",,,
Q9H310,1.A.11.4.2,"ammonia,NH4+",,,
Q9FGL2,1.A.8.10.4,"ammonia,water ",,,
Q12359,2.A.96.1.5,Ammonium ,,,
P69681,1.A.11.1.1,"ammonium ions,ammonia",,,
Q8WPZ6,1.A.8.9.13,"Ammonium,Methylamine,glycerol,water,ammonia ",,,
O04619,2.A.29.23.4,"AMP,ADP,ATP ",,,
